"","Position","Age","League_from","League_to","Season","Market_value","Transfer_fee","Price_diff"
"1000","Second Striker",20," Argentina","Serie A","2004",15,15,0
"1002","Centre-Forward",18,"Serie A","Serie A","2004",13,14,1
"1005","Centre-Back",27,"Premier Liga","Premier League","2004",5,12,7
"1010","Centre-Back",25,"Premiership","Premier League","2004",8.5,11.3,2.8
"1012","Centre-Forward",25,"Premier League","Süper Lig","2004",15,10.7,-4.3
"1014","Attacking Midfield",20,"Liga NOS","Serie A","2004",6,10,4
"1022","Centre-Forward",28,"LaLiga","Premier League","2004",15,9.25,-5.75
"1024","Centre-Forward",26,"Premier League","Premier League","2004",10,9,-1
"1032","Left Midfield",22,"Championship","Premier League","2004",3.5,8,4.5
"1037","Centre-Forward",29,"Liga NOS","Premier Liga","2004",10,7.5,-2.5
"1042","Defensive Midfield",27,"Premier League","Premiership","2004",5.25,7.25,2
"1044","Centre-Back",21,"Championship","Premier League","2004",1,7,6
"1050","Centre-Forward",20,"Serie A","Serie A","2004",3,6.5,3.5
"1053","Centre-Forward",23," Mexico","LaLiga","2004",3.25,6.2,2.95
"1055","Centre-Forward",21,"Championship","Premier League","2004",0.75,6,5.25
"1064","Centre-Forward",21,"Serie B","Serie A","2004",0.2,5.4,5.2
"1068","Centre-Back",23,"Serie A","LaLiga","2004",8,5,-3
"1069","Left Winger",21,"Ligue 1","Süper Lig","2004",4.5,5,0.5
"1079","Centre-Forward",24,"Bundesliga","Eredivisie","2004",6,4.9,-1.1
"1081","Central Midfield",30,"Premier League","Premier League","2004",5,4.5,-0.5
"1089","Left-Back",23," Argentina","Premier Liga","2004",3.5,4,0.5
"1090","Centre-Back",25,"HET Liga","Premier Liga","2004",0.05,4,3.95
"1091","Centre-Forward",23," Mexico","Eredivisie","2004",0.05,4,3.95
"1102","Right Winger",23,"Eredivisie","Premiership","2004",5.5,3.5,-2
"1103","Central Midfield",21,"J1 League","Premier Liga","2004",2.5,3.5,1
"1114","Defensive Midfield",28,"Premier League","LaLiga","2004",6,3.4,-2.6
"1119","Centre-Back",29,"Serie A","Serie B","2004",1.25,3.2,1.95
"1121","Central Midfield",26,"Premier League","Premier League","2004",2.5,3.15,0.65
"1122","Defensive Midfield",27,"Premier League","Premier League","2004",3,3,0
"1123","Attacking Midfield",21,"Liga NOS","Premier Liga","2004",2.25,3,0.75
"1147","Centre-Back",25,"Super League","Premiership","2004",3.8,2.63,-1.17
"1148","Defensive Midfield",23,"Premier League","Premier League","2004",7,2.54,-4.46
"1149","Attacking Midfield",23," Argentina"," Mexico","2004",3,2.5,-0.5
"1150","Central Midfield",28,"Premier Liga","Ligue 1","2004",1,2.5,1.5
"1159","Goalkeeper",25,"Serie A","Serie A","2004",2,2.45,0.45
"1160","Centre-Forward",25,"Serie A","Serie A","2004",15,2.4,-12.6
"1161","Centre-Back",29,"Eliteserien","Premier Liga","2004",2.4,2.4,0
"1164","Attacking Midfield",26,"Liga NOS","Serie A","2004",1.5,2.3,0.8
"1167","Second Striker",28,"Championship","Premier League","2004",1.75,2.25,0.5
"1168","Central Midfield",20,"Championship","Premier League","2004",0.05,2.25,2.2
"1174","Right-Back",21,"Jupiler Pro League","Premier League","2004",1.8,2.2,0.4
"1179","Left Winger",27,"Premier League","LaLiga","2004",6.5,2,-4.5
"1180","Centre-Forward",34,"LaLiga"," Qatar","2004",4,2,-2
"1181","Right-Back",25,"Eredivisie"," Korea, South","2004",2.8,2,-0.8
"1182","Defensive Midfield",28,"Liga NOS","Premier Liga","2004",2.75,2,-0.75
"1183","Left-Back",25,"Serie A","Liga NOS","2004",2.5,2,-0.5
"1184","Attacking Midfield",22,"Ekstraklasa","Bundesliga","2004",1.5,2,0.5
"1185","Attacking Midfield",22,"Liga NOS","Liga NOS","2004",0.5,2,1.5
"1186","Centre-Back",23,"Premier Liga","Premier Liga","2004",0.05,2,1.95
"1201","Centre-Forward",28,"Serie B","Serie A","2004",0.05,1.9,1.85
"1203","Centre-Back",32,"Superligaen","Premier League","2004",2,1.8,-0.2
"1204","Right Winger",26,"Ekstraklasa","Premier Liga","2004",1.75,1.8,0.05
"1217","Left Midfield",28,"Süper Lig","Premier Liga","2004",2.2,1.6,-0.6
"1220","Attacking Midfield",20," Croatia"," Croatia","2004",5,1.5,-3.5
"1221","Left-Back",28," Brazil","LaLiga","2004",4,1.5,-2.5
"1222","Attacking Midfield",23,"Serie A","Bundesliga","2004",1.2,1.5,0.3
"1223","Centre-Forward",24,"MLS","Premier Liga","2004",1,1.5,0.5
"1224","Defensive Midfield",26,"Super League","Premier League","2004",0.8,1.5,0.7
"1225","Defensive Midfield",21," Sweden","Allsvenskan","2004",0.05,1.5,1.45
"1233","Defensive Midfield",22,"Ligue 1","Premier League","2005",45,38,-7
"1234","Right Winger",23,"Premier League","Premier League","2005",9.5,31.5,22
"1235","Centre-Back",19,"LaLiga","LaLiga","2005",27,27,0
"1236","Centre-Forward",25,"LaLiga","Premier League","2005",22,25,3
"1237","Centre-Forward",23,"Serie A","Serie A","2005",20,25,5
"1238","Left Winger",21,"Serie A","LaLiga","2005",25,24,-1
"1239","Defensive Midfield",29,"Premier League","Serie A","2005",35,20,-15
"1240","Attacking Midfield",23,"LaLiga","LaLiga","2005",25,20,-5
"1241","Left Winger",27,"LaLiga","Premier League","2005",20,20,0
"1242","Central Midfield",27,"Liga NOS","Premier Liga","2005",18,16,-2
"1243","Centre-Back",27,"LaLiga","Serie A","2005",17,16,-1
"1244","Centre-Forward",21,"Serie A","Ligue 1","2005",7.5,15.6,8.1
"1245","Central Midfield",22,"Premier League","Premier League","2005",9,15,6
"1246","Attacking Midfield",24,"Bundesliga","Premier League","2005",8.5,15,6.5
"1247","Left-Back",24,"LaLiga","Premier League","2005",12,12,0
"1248","Central Midfield",25,"Serie A","Serie A","2005",12,12,0
"1249","Centre-Forward",23,"LaLiga","LaLiga","2005",12,12,0
"1250","Defensive Midfield",20,"LaLiga","Premier League","2005",4,12,8
"1251","Defensive Midfield",21,"Torneo Final","Serie A","2005",11.8,11.8,0
"1252","Centre-Forward",22,"Championship","Premier League","2005",6.5,10.89,4.39
"1253","Centre-Forward",24,"Championship","Premier League","2005",10.5,10.5,0
"1254","Centre-Back",24,"Premier Liga","Premier League","2005",8.5,10.5,2
"1255","Right Winger",16,"Championship","Premier League","2005",2.5,10.5,8
"1256","Central Midfield",24,"Torneo Final","Liga NOS","2005",6,10.25,4.25
"1257","Central Midfield",24,"Premier League","Ligue 1","2005",10,10.1,0.0999999999999996
"1258","Centre-Forward",28,"Serie A","Serie A","2005",15,10,-5
"1259","Centre-Forward",24,"Liga NOS","LaLiga","2005",10,10,0
"1260","Right-Back",24,"Liga NOS","Premier Liga","2005",8,10,2
"1261","Centre-Forward",21,"Ligue 1","Premier League","2005",7.5,10,2.5
"1262","Left Winger",26,"Bundesliga","LaLiga","2005",7,10,3
"1263","Goalkeeper",22,"LaLiga","Premier League","2005",4.5,9.8,5.3
"1264","Centre-Forward",22,"Premier League","Premier League","2005",9.5,9.75,0.25
"1265","Centre-Forward",26,"Premier League","LaLiga","2005",13.5,9,-4.5
"1266","Right Winger",25,"Serie A","Premier League","2005",12.5,9,-3.5
"1267","Central Midfield",24,"Premier League","Premier League","2005",11,9,-2
"1268","Centre-Forward",22,"Eredivisie","Eredivisie","2005",4.75,9,4.25
"1269","Centre-Forward",23,"Premier League","Premier League","2005",17.5,8.84,-8.66
"1270","Centre-Back",21,"Superligaen","Premier League","2005",0.4,8.76,8.36
"1271","Left-Back",28,"Serie A","Serie A","2005",20,8.5,-11.5
"1272","Centre-Back",29,"Bundesliga","Bundesliga","2005",8.5,8.5,0
"1273","Right Winger",27,"Ligue 1","Ligue 1","2005",7.5,8.5,1
"1274","Left Winger",20,"Eredivisie","Premier League","2005",3,8.5,5.5
"1275","Right-Back",25,"Liga NOS","LaLiga","2005",15,8,-7
"1276","Centre-Forward",23,"Serie B","Serie A","2005",8,8,0
"1277","Left-Back",24,"Ligue 1","Premier League","2005",6.5,8,1.5
"1278","Central Midfield",24,"Serie A","Süper Lig","2005",6,8,2
"1279","Defensive Midfield",20,"Serie A","Premier Liga","2005",0.5,7.8,7.3
"1280","Centre-Back",20,"Serie A","Serie A","2005",9,7.7,-1.3
"1281","Centre-Forward",25,"Süper Lig","Ligue 1","2005",7,7.6,0.6
"1282","Centre-Forward",28,"Serie A","Bundesliga","2005",15,7.5,-7.5
"1283","Left Winger",26,"Premier League","Premier League","2005",9,7.5,-1.5
"1284","Defensive Midfield",24,"Ligue 1","Ligue 1","2005",9,7.5,-1.5
"1285","Attacking Midfield",29,"Serie A","Serie A","2005",6,7.5,1.5
"1286","Centre-Forward",22,"Serie B","Serie A","2005",5,7.5,2.5
"1287","Attacking Midfield",24,"Eredivisie","Premier League","2005",5,7.3,2.3
"1288","Centre-Forward",25,"Ligue 1","Ligue 1","2005",5,7,2
"1289","Centre-Forward",23,"Bundesliga","Bundesliga","2005",8,6.9,-1.1
"1290","Centre-Back",25,"Serie A","Premier League","2005",7,6.8,-0.2
"1291","Centre-Forward",27,"Premier League","LaLiga","2005",7.5,6.5,-1
"1292","Centre-Forward",28,"Championship","Premier League","2005",3.5,6.45,2.95
"1293","Right-Back",24,"Eredivisie","LaLiga","2005",8,6,-2
"1294","Left Winger",23,"Ligue 1","Ligue 1","2005",7,6,-1
"1295","Attacking Midfield",25,"Ligue 1","Ligue 1","2005",6,6,0
"1296","Centre-Forward",27,"Ligue 1","Premier League","2005",4,6,2
"1297","Centre-Back",22,"Liga NOS","Premier Liga","2005",2.25,6,3.75
"1298","Left-Back",23,"Serie B","Serie A","2005",1.7,6,4.3
"1299","Defensive Midfield",20,"Serie C","Serie A","2005",0.5,6,5.5
"1302","Second Striker",23,"Serie A","LaLiga","2005",24,5.5,-18.5
"1303","Defensive Midfield",20,"Serie B","Serie A","2005",5,5.5,0.5
"1304","Centre-Forward",22,"Allsvenskan","Eredivisie","2005",5.5,5.3,-0.2
"1305","Right-Back",28,"Premier League","Premier League","2005",5,5.3,0.3
"1306","Right Midfield",25,"Premier League","Premier League","2005",5.5,5.25,-0.25
"1308","Attacking Midfield",22,"Eredivisie","Bundesliga","2005",8,5.1,-2.9
"1309","Central Midfield",24,"Serie A","Premier League","2005",12,5,-7
"1310","Defensive Midfield",28,"Bundesliga","Bundesliga","2005",9,5,-4
"1311","Left Winger",24,"LaLiga","LaLiga","2005",7,5,-2
"1312","Defensive Midfield",28,"Jupiler Pro League","Eredivisie","2005",5,5,0
"1313","Centre-Back",24,"Ligue 1","Ligue 1","2005",5,5,0
"1314","Centre-Forward",18,"Serie A","Premier Liga","2005",5,5,0
"1315","Right-Back",19,"Serie A","Bundesliga","2005",4.5,5,0.5
"1316","Centre-Back",21,"Ligue 1","Ligue 1","2005",3.5,5,1.5
"1317","Right-Back",21,"Torneo Final","LaLiga","2005",2.5,5,2.5
"1318","Central Midfield",22,"Superligaen","Ligue 1","2005",1.5,5,3.5
"1319","Second Striker",19,"Serie A","Serie A","2005",1,5,4
"1320","Centre-Back",20,"Serie B","Serie A","2005",0.25,5,4.75
"1321","Centre-Forward",24,"Premier League","Premier League","2005",6.5,4.8,-1.7
"1322","Left-Back",27,"Eredivisie","Premier League","2005",5,4.7,-0.3
"1323","Defensive Midfield",18,"Championship","Premier League","2005",4.7,4.7,0
"1324","Centre-Forward",24,"Premier League","Premier League","2005",7,4.5,-2.5
"1325","Defensive Midfield",25,"Serie A","Premier Liga","2005",5,4.5,-0.5
"1326","Central Midfield",27,"Premier Liga","Premier Liga","2005",4,4.5,0.5
"1327","Centre-Back",25,"Bundesliga","Premier Liga","2005",3.5,4.5,1
"1328","Centre-Forward",21,"Championship","Premier League","2005",3.5,4.5,1
"1329","Centre-Forward",24,"Premier League","Premier League","2005",2.25,4.5,2.25
"1330","Centre-Forward",23,"Serie A"," Saudi Arabia","2005",0.2,4.5,4.3
"1333","Attacking Midfield",27,"Serie A","Premiership","2005",2.5,4.2,1.7
"1335","Centre-Forward",26,"Serie A","Serie A","2005",4,4.15,0.15
"1336","Centre-Forward",24,"Premier League","Championship","2005",5.3,4.13,-1.17
"1337","Defensive Midfield",30,"Liga NOS","Premier Liga","2005",15,4,-11
"1338","Centre-Back",26,"Premier League","Serie A","2005",7.25,4,-3.25
"1339","Right-Back",25,"Serie A","LaLiga","2005",5,4,-1
"1340","Goalkeeper",34,"Premier League","Premier League","2005",4.75,4,-0.75
"1341","Defensive Midfield",28,"LaLiga","LaLiga","2005",4.25,4,-0.25
"1342","Right Winger",19,"SuperLiga","Premier Liga","2005",4,4,0
"1343","Centre-Forward",26,"Ligue 1","J1 League","2005",4,4,0
"1344","Attacking Midfield",22,"Bundesliga","Bundesliga","2005",3.8,4,0.2
"1345","Right Midfield",21,"Premier Liga","Premier Liga","2005",3.3,4,0.7
"1346","Defensive Midfield",22,"Ligue 1","LaLiga","2005",3,4,1
"1347","Centre-Back",22,"Ligue 1","Ligue 1","2005",2.8,4,1.2
"1348","Centre-Forward",21,"Bundesliga","Bundesliga","2005",1.75,4,2.25
"1349","Defensive Midfield",17,"Ligue 2","Premier League","2005",1.25,4,2.75
"1350","Right Winger",20,"Premier Liga","Premier Liga","2005",0.15,4,3.85
"1351","Centre-Back",29,"Super League","Ligue 1","2005",3,3.8,0.8
"1352","Right Winger",25,"LaLiga","Premier League","2005",4,3.75,-0.25
"1353","Centre-Back",28,"Süper Lig","Premier Liga","2005",3.5,3.75,0.25
"1354","Centre-Back",25,"Eliteserien","Premier League","2005",3,3.67,0.67
"1355","Centre-Forward",25,"Premier League","Premier League","2005",5.75,3.6,-2.15
"1356","Centre-Forward",25,"Serie B","Serie B","2005",0.7,3.6,2.9
"1357","Centre-Forward",24,"Bundesliga","LaLiga","2005",12,3.5,-8.5
"1358","Centre-Forward",32,"Bundesliga","Süper Lig","2005",8,3.5,-4.5
"1359","Centre-Forward",25,"Serie A","Liga NOS","2005",3.5,3.5,0
"1360","Centre-Forward",26,"Championship","Premier League","2005",3.5,3.5,0
"1361","Centre-Back",20,"Liga NOS","Premier Liga","2005",3.5,3.5,0
"1362","Central Midfield",27,"LaLiga2","LaLiga","2005",0.8,3.5,2.7
"1366","Attacking Midfield",22,"Ligue 1","Ligue 1","2005",2.5,3.4,0.9
"1368","Second Striker",22,"HET Liga","Süper Lig","2005",4,3.25,-0.75
"1369","Central Midfield",28,"Premier League","Premier League","2005",5.3,3.21,-2.09
"1370","Central Midfield",31,"Serie A","Ligue 1","2005",4,3.2,-0.8
"1372","Centre-Forward",28,"Ekstraklasa","Premiership","2005",5,3.1,-1.9
"1373","Centre-Forward",26,"Premier League","Championship","2005",7,3,-4
"1374","Left Winger",27,"LaLiga","Bundesliga","2005",6.5,3,-3.5
"1375","Centre-Forward",26,"Ligue 1","Ligue 1","2005",6.5,3,-3.5
"1376","Second Striker",24,"Jupiler Pro League","Ligue 1","2005",5,3,-2
"1377","Left Winger",23,"Ligue 1","LaLiga","2005",4.75,3,-1.75
"1378","Defensive Midfield",23,"Premier League","Ligue 1","2005",4,3,-1
"1379","Centre-Forward",26,"Ligue 1","Ligue 1","2005",4,3,-1
"1380","Right Winger",24,"Ligue 1","Ligue 1","2005",4,3,-1
"1381","Right Winger",25,"Ligue 1","Ligue 1","2005",4,3,-1
"1382","Centre-Forward",26,"Premier League","Championship","2005",3.5,3,-0.5
"1383","Centre-Back",26,"Premier League","Premier League","2005",3.5,3,-0.5
"1384","Central Midfield",19,"Ligue 1","Premier League","2005",3,3,0
"1385","Second Striker",23,"Superligaen","Bundesliga","2005",3,3,0
"1386","Left-Back",26,"Premier League","Ligue 1","2005",3,3,0
"1387","Centre-Back",25,"Jupiler Pro League","Ligue 1","2005",2.5,3,0.5
"1388","Central Midfield",29,"Ligue 1","Premier Liga","2005",2.5,3,0.5
"1389","Central Midfield",24,"Eredivisie","Premier League","2005",2.5,3,0.5
"1390","Centre-Forward",24,"Ligue 2","Ligue 1","2005",2.5,3,0.5
"1391","Central Midfield",24,"LaLiga","LaLiga","2005",2.5,3,0.5
"1392","Centre-Forward",27,"Premier League","Premier League","2005",2.25,3,0.75
"1393","Left Winger",20,"Championship","Premier League","2005",2.25,3,0.75
"1394","Centre-Back",25,"Premier Liga","Premier Liga","2005",2,3,1
"1395","Centre-Forward",28,"Championship","Premier League","2005",2,3,1
"1396","Attacking Midfield",21,"Torneo Final","LaLiga","2005",1.75,3,1.25
"1397","Defensive Midfield",26,"Serie A","Serie A","2005",1.5,3,1.5
"1398","Right Winger",16," Mexico","Premier League","2005",1,3,2
"1399","Centre-Back",23,"Serie B","Serie A","2005",0.3,3,2.7
"1406","Central Midfield",23,"LaLiga","Premier League","2005",8,2.8,-5.2
"1407","Centre-Back",22,"Bundesliga","Premier League","2005",3,2.71,-0.29
"1408","Centre-Forward",22,"Premier League","Premier League","2005",3,2.7,-0.3
"1409","Central Midfield",22," Paraguay","Bundesliga","2005",2,2.7,0.7
"1410","Central Midfield",22,"Premier Liga","Super League","2005",2,2.7,0.7
"1412","Centre-Forward",31,"Championship","Championship","2005",2.75,2.63,-0.12
"1413","Central Midfield",26,"Premier League","Süper Lig","2005",5.5,2.6,-2.9
"1414","Central Midfield",25,"Serie A","LaLiga","2005",7.5,2.5,-5
"1415","Centre-Forward",29,"Bundesliga","J1 League","2005",5,2.5,-2.5
"1416","Attacking Midfield",21,"Serie B","Serie A","2005",4,2.5,-1.5
"1417","Attacking Midfield",26,"Eredivisie","J1 League","2005",3.75,2.5,-1.25
"1418","Centre-Forward",26,"Eredivisie","Bundesliga","2005",3.5,2.5,-1
"1419","Left-Back",23,"Premier League","Bundesliga","2005",3,2.5,-0.5
"1420","Centre-Forward",24,"Torneo Final","Jupiler Pro League","2005",3,2.5,-0.5
"1421","Attacking Midfield",26,"HET Liga","Süper Lig","2005",2.5,2.5,0
"1422","Goalkeeper",31,"Liga NOS","Premier Liga","2005",2.5,2.5,0
"1423","Centre-Forward",29,"J1 League","SuperLiga","2005",2.5,2.5,0
"1424","Right Winger",23,"Ligue 2","Ligue 1","2005",2.25,2.5,0.25
"1425","Right Winger",25,"LaLiga","LaLiga","2005",2,2.5,0.5
"1426","Centre-Back",28,"Liga NOS","LaLiga","2005",1.5,2.5,1
"1427","Left Winger",20,"LaLiga2","Premier League","2005",1.5,2.5,1
"1428","Centre-Back",20,"Eredivisie","Eredivisie","2005",1.5,2.5,1
"1429","Centre-Forward",25,"Superligaen","LaLiga","2005",1.25,2.5,1.25
"1430","Left-Back",29,"Liga NOS","Premier Liga","2005",1,2.5,1.5
"1431","Centre-Back",22,"1.HNL","Ligue 1","2005",1,2.5,1.5
"1432","Left Winger",19,"Premier League","Premier Liga","2005",0.75,2.5,1.75
"1435","Attacking Midfield",25,"Torneo Final","Torneo Final","2005",4.5,2.48,-2.02
"1436","Centre-Back",22,"Serie A","Bundesliga","2005",2.75,2.4,-0.35
"1437","Centre-Forward",22,"Premiership","Premier Liga","2005",2,2.4,0.4
"1439","Centre-Forward",22,"Torneo Final","Liga NOS","2005",5.5,2.3,-3.2
"1440","Central Midfield",28,"Premier League","Premier League","2005",3,2.3,-0.7
"1442","Right Midfield",31,"Premier League","Premier League","2005",5,2.25,-2.75
"1443","Left-Back",24,"Premier League","Premier League","2005",3.5,2.25,-1.25
"1444","Right Winger",24,"Serie B","Premier League","2005",2.5,2.25,-0.25
"1445","Central Midfield",21,"Premier League","Premier League","2005",2.25,2.25,0
"1446","Centre-Forward",28,"Bundesliga","Süper Lig","2005",1.5,2.25,0.75
"1447","Central Midfield",26,"Championship","Premier League","2005",0.55,2.25,1.7
"1448","Central Midfield",21,"Premier League","Championship","2005",0.25,2.25,2
"1449","Left-Back",27,"Bundesliga","Serie A","2005",2.5,2.2,-0.3
"1451","Centre-Back",29,"Jupiler Pro League","LaLiga","2005",2.5,2.1,-0.4
"1452","Left Midfield",28,"LaLiga","Serie A","2005",7,2,-5
"1453","Left-Back",30,"Liga NOS","Premier League","2005",5,2,-3
"1454","Left-Back",28,"Eredivisie","Premier League","2005",4,2,-2
"1455","Centre-Back",25,"Bundesliga","Ligue 1","2005",3.8,2,-1.8
"1456","Centre-Forward",31,"LaLiga2","Championship","2005",3.75,2,-1.75
"1457","Right-Back",25,"Bundesliga","Bundesliga","2005",3.25,2,-1.25
"1458","Central Midfield",24,"Liga NOS","Liga NOS","2005",3,2,-1
"1459","Centre-Forward",26,"Ligue 2","Ligue 1","2005",3,2,-1
"1460","Central Midfield",27,"SuperLiga","Süper Lig","2005",3,2,-1
"1461","Defensive Midfield",26,"LaLiga","LaLiga","2005",2,2,0
"1462","Second Striker",23,"LaLiga"," Korea, South","2005",2,2,0
"1463","Centre-Forward",25," Bulgaria"," Qatar","2005",2,2,0
"1464","Centre-Forward",21,"LaLiga","LaLiga","2005",1.5,2,0.5
"1465","Centre-Back",23,"HET Liga","Premier Liga","2005",1.25,2,0.75
"1466","Central Midfield",28,"OBOS-ligaen","Eliteserien","2005",1.25,2,0.75
"1467","Goalkeeper",21,"Super League","Premier Liga","2005",0.75,2,1.25
"1468","Left-Back",26,"Serie A","Super League","2005",0.6,2,1.4
"1469","Centre-Back",25,"Championship","Premier League","2005",0.6,2,1.4
"1470","Centre-Back",21,"Championship","Premier League","2005",0.6,2,1.4
"1471","Attacking Midfield",23,"Serie A","Serie A","2005",0.25,2,1.75
"1472","Centre-Forward",27,"Championship","Premier League","2005",0.2,2,1.8
"1473","Centre-Forward",22,"Premier Liga","Premier Liga","2005",0.05,2,1.95
"1474","Goalkeeper",22,"Championship","Premier League","2005",0.05,2,1.95
"1480","Centre-Forward",29,"Serie A","Premier League","2006",51,43.3,-7.7
"1481","Defensive Midfield",25,"Premier League","Premier League","2006",26.5,27.2,0.699999999999999
"1482","Defensive Midfield",25,"Ligue 1","LaLiga","2006",20,26,6
"1483","Right Winger",25,"LaLiga","LaLiga","2006",22,25,3
"1484","Centre-Forward",24,"Serie B","Serie A","2006",25,24.8,-0.199999999999999
"1485","Centre-Forward",18,"Torneo Final","LaLiga","2006",5,21.7,16.7
"1486","Defensive Midfield",20,"Torneo Final","LaLiga","2006",12,20.5,8.5
"1488","Right Winger",26,"Eredivisie","Premier League","2006",17.25,18,0.75
"1489","Defensive Midfield",30,"Serie B","LaLiga","2006",26,16,-10
"1490","Centre-Forward",21,"Serie A","Premier League","2006",12,16,4
"1491","Centre-Forward",25,"Bundesliga","Premier League","2006",17,15.7,-1.3
"1492","Right Midfield",27,"Premier League","Premier League","2006",15,15.5,0.5
"1493","Centre-Forward",30,"Premier League","LaLiga","2006",32,15,-17
"1494","Centre-Forward",26,"LaLiga","Serie A","2006",6,15,9
"1495","Second Striker",22,"Serie A","Premier League","2006",15,14.6,-0.4
"1496","Defensive Midfield",22,"Serie A","Premier League","2006",11.8,14.6,2.8
"1497","Defensive Midfield",27,"Premier Liga","Premier Liga","2006",6,14.5,8.5
"1498","Right-Back",29,"Serie B","LaLiga","2006",26,14,-12
"1499","Centre-Back",24,"Bundesliga","Premier League","2006",13,13.2,0.199999999999999
"1500","Left Midfield",21,"Premier League","Premier League","2006",6.5,13.2,6.7
"1501","Central Midfield",26,"Serie A","Serie A","2006",8,13,5
"1502","Centre-Back",27,"Championship","Premier League","2006",9,12.6,3.6
"1503","Defensive Midfield",25,"Ligue 1","Premier League","2006",12.5,12.35,-0.15
"1504","Centre-Forward",27,"Süper Lig","Premier League","2006",12,12,0
"1505","Centre-Forward",27,"Premier League","LaLiga","2006",12,12,0
"1506","Centre-Forward",19,"Torneo Final","LaLiga","2006",12,12,0
"1507","Attacking Midfield",26,"LaLiga","LaLiga","2006",18,11,-7
"1508","Attacking Midfield",24,"LaLiga","LaLiga","2006",11,11,0
"1509","Centre-Forward",25,"Championship","Premier League","2006",11,11,0
"1510","Centre-Back",20,"Jupiler Pro League","Bundesliga","2006",13.5,10.5,-3
"1511","Centre-Forward",21,"2.Bundesliga","Bundesliga","2006",12,10,-2
"1512","Attacking Midfield",25,"Bundesliga","Premier League","2006",11,10,-1
"1513","Centre-Forward",27,"Serie A","LaLiga","2006",8.5,10,1.5
"1514","Central Midfield",27,"Premiership","Premier League","2006",7.35,10,2.65
"1515","Right-Back",27,"Premier League","Premier League","2006",4,10,6
"1516","Defensive Midfield",30,"Serie B","Serie A","2006",28,9.5,-18.5
"1517","Right Winger",23,"Championship","Premier League","2006",5.5,9.1,3.6
"1518","Central Midfield",28,"Premier Liga","LaLiga","2006",13,9,-4
"1519","Left Winger",26,"Premier League","Premier League","2006",9,9,0
"1520","Centre-Forward",23,"Premier Liga","Ligue 1","2006",6.5,9,2.5
"1521","Centre-Forward",22,"Eredivisie","Eredivisie","2006",6,9,3
"1523","Centre-Forward",25,"Ligue 1","LaLiga","2006",7,8.9,1.9
"1524","Centre-Back",21,"Premier League","Premier League","2006",2.75,8.9,6.15
"1525","Centre-Forward",26,"Serie A","Serie A","2006",4,8.75,4.75
"1526","Attacking Midfield",20," Chile","LaLiga","2006",11,8.7,-2.3
"1527","Centre-Forward",21,"Serie A","LaLiga","2006",7.5,8.5,1
"1528","Centre-Back",28,"Bundesliga","Bundesliga","2006",14,8,-6
"1529","Centre-Forward",27,"Serie B","Serie A","2006",11,8,-3
"1530","Defensive Midfield",23,"Ligue 1","Ligue 1","2006",7.5,8,0.5
"1531","Centre-Forward",21,"Ligue 1","Serie A","2006",6,8,2
"1532","Right-Back",30,"Serie A","Serie A","2006",10,7.75,-2.25
"1533","Centre-Forward",30,"LaLiga","Serie A","2006",27.5,7.5,-20
"1534","Left-Back",25,"Premier League","LaLiga","2006",12,7.5,-4.5
"1535","Centre-Forward",28,"Süper Lig","Premier Liga","2006",8.25,7.5,-0.75
"1536","Centre-Forward",28,"Championship","Premier League","2006",5.5,7.5,2
"1537","Centre-Back",25,"Serie A","Süper Lig","2006",3.75,7.5,3.75
"1538","Attacking Midfield",20,"Serie A","Ligue 1","2006",1.5,7.5,6
"1539","Left-Back",25,"Premier League","Premier League","2006",17,7.4,-9.6
"1540","Centre-Back",32,"Serie B","LaLiga","2006",14,7,-7
"1541","Centre-Forward",27,"LaLiga","Süper Lig","2006",12.5,7,-5.5
"1542","Attacking Midfield",25,"Premier Liga","Premier Liga","2006",7,7,0
"1543","Defensive Midfield",22,"Ligue 1","Ligue 1","2006",7,7,0
"1544","Right-Back",24,"Ligue 1","Serie A","2006",7,6.8,-0.2
"1545","Left Midfield",29,"Premier League","Premier League","2006",3.5,6.8,3.3
"1546","Centre-Forward",23,"Serie A","Premier League","2006",10.5,6.75,-3.75
"1547","Centre-Back",23,"Championship","Premier League","2006",8,6.5,-1.5
"1548","Left-Back",18,"Serie A","LaLiga","2006",6.5,6.5,0
"1549","Centre-Forward",22,"Bundesliga","Bundesliga","2006",5,6.5,1.5
"1550","Right Winger",22,"Bundesliga","LaLiga","2006",4.5,6.5,2
"1551","Centre-Forward",22,"Serie A","Serie A","2006",4,6.3,2.3
"1552","Defensive Midfield",25,"Ligue 1","Ligue 1","2006",5,6.25,1.25
"1553","Defensive Midfield",31,"Premier Liga","LaLiga","2006",15,6,-9
"1554","Defensive Midfield",29,"LaLiga","Bundesliga","2006",12,6,-6
"1555","Centre-Forward",25,"SuperLiga","LaLiga","2006",8,6,-2
"1556","Right-Back",25,"Premier Liga","LaLiga","2006",8,6,-2
"1557","Attacking Midfield",21,"Liga NOS","Bundesliga","2006",8,6,-2
"1558","Centre-Back",26,"Eredivisie","Bundesliga","2006",6,6,0
"1559","Centre-Forward",25,"Ligue 1","Ligue 1","2006",5,6,1
"1560","Left-Back",24,"LaLiga","LaLiga","2006",2.5,6,3.5
"1561","Left Winger",23,"Championship","Championship","2006",1.25,6,4.75
