"","Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee","Price_diff","League_type_from","League_type_to"
"1203","Andreas Jakobsson","Centre-Back",32,"Br?ndby IF","Superligaen","Southampton","Premier League","2004",2,1.8,-0.2,"Europe","Big5"
"1204","Damian Gorawski","Right Winger",26,"Wisla Kraków","Ekstraklasa","FK Moskau","Russian Premier Liga","2004",1.75,1.8,0.05,"Europe","Europe"
"1217","Maksim Romashchenko","Left Midfield",28,"Trabzonspor","Süper Lig","Dinamo Moscow","Russian Premier Liga","2004",2.2,1.6,-0.6,"Europe","Europe"
"1220","Niko Kranjcar","Attacking Midfield",20,"Dinamo Zagreb","1.HNL","Hajduk Split","1.HNL","2004",5,1.5,-3.5,"Europe","Europe"
"1221","Juan Pablo Sorín","Left-Back",28,"Cruzeiro"," Brazil","Villarreal CF","LaLiga","2004",4,1.5,-2.5,"Americas","Big5"
"1222","élson","Attacking Midfield",23,"Palmeiras","Serie A","VfB Stuttgart","Bundesliga","2004",1.2,1.5,0.3,"Big5","Big5"
"1223","Damani Ralph","Centre-Forward",24,"Chicago Fire","MLS","Rubin Kazan","Russian Premier Liga","2004",1,1.5,0.5,"Americas","Europe"
"1224","Giannis Skopelitis","Defensive Midfield",26,"Egaleo AO","Greece Super League","Portsmouth","Premier League","2004",0.8,1.5,0.7,"Europe","Big5"
"1225","Atiba Hutchinson","Defensive Midfield",21,"?sters IF","Allsvenskan","Helsingborg","Allsvenskan","2004",0.05,1.5,1.45,"Europe","Europe"
"1233","Michael Essien","Defensive Midfield",22,"Olympique Lyon","Ligue 1","Chelsea","Premier League","2005",45,38,-7,"Big5","Big5"
"1234","Shaun Wright-Phillips","Right Winger",23,"Man City","Premier League","Chelsea","Premier League","2005",9.5,31.5,22,"Big5","Big5"
"1235","Sergio Ramos","Centre-Back",19,"Sevilla FC","LaLiga","Real Madrid","LaLiga","2005",27,27,0,"Big5","Big5"
"1236","Michael Owen","Centre-Forward",25,"Real Madrid","LaLiga","Newcastle","Premier League","2005",22,25,3,"Big5","Big5"
"1237","Alberto Gilardino","Centre-Forward",23,"Parma","Serie A","AC Milan","Serie A","2005",20,25,5,"Big5","Big5"
"1238","Robinho","Left Winger",21,"Santos FC","Serie A","Real Madrid","LaLiga","2005",25,24,-1,"Big5","Big5"
