"","Position","Age","Team_from","Team_to","Season","Market_value","Transfer_fee","Price_diff"
"2147","Centre-Back",30,"Lens","Marseille","2008",4.5,5,0.5
"2148","Second Striker",26,"Parma","Genoa","2008",4,5,1
"2149","Defensive Midfield",21,"Paris SG","Middlesbrough","2008",3,5,2
"2150","Centre-Back",24,"RSC Anderlecht","Espanyol","2008",2.75,5,2.25
"2151","Defensive Midfield",23,"Cruzeiro","Loko Moscow","2008",2.3,5,2.7
"2152","Central Midfield",23,"FC Twente","Feyenoord","2008",2,5,3
"2153","Goalkeeper",23,"Internacional","Valencia CF","2008",1.7,5,3.3
"2154","Centre-Back",24,"Rapid Bucharest","FC Porto","2008",1.4,5,3.6
"2157","Centre-Forward",23,"Necaxa","Wigan","2008",4,4.8,0.8
"2158","Centre-Back",29,"Torino","Fiorentina","2008",2.7,4.8,2.1
"2159","Central Midfield",23,"Atalanta","Cagliari Calcio","2008",2,4.8,2.8
"2160","Centre-Forward",20,"KSC Lokeren","CSKA Moscow","2008",2,4.8,2.8
"2161","Central Midfield",23,"Getafe CF","Real Madrid","2008",6,4.7,-1.3
"2162","Left-Back",26,"RCD Mallorca","Sevilla FC","2008",6,4.7,-1.3
"2163","Defensive Midfield",19,"Grêmio","Spartak Moscow","2008",4,4.7,0.7
"2164","Centre-Back",24,"Udinese Calcio","Besiktas","2008",3.8,4.7,0.9
"2165","Centre-Forward",23,"Odense BK","Loko Moscow","2008",3.5,4.7,1.2
"2166","Attacking Midfield",18,"Paraná","Internacional","2008",0.7,4.7,4
"2167","Centre-Back",30,"VfB Stuttgart","Galatasaray","2008",10,4.5,-5.5
"2168","Central Midfield",27,"Newcastle","Fenerbahce","2008",7.5,4.5,-3
"2169","Defensive Midfield",29,"FC Schalke 04","Besiktas","2008",7,4.5,-2.5
"2170","Centre-Forward",29,"Monaco","Olympique Lyon","2008",7,4.5,-2.5
"2171","Attacking Midfield",26,"Bolton","Newcastle","2008",6.5,4.5,-2
"2172","Left-Back",26,"Reggina","Genoa","2008",5,4.5,-0.5
"2173","Centre-Back",28,"SSC Napoli","Udinese Calcio","2008",5,4.5,-0.5
"2174","Central Midfield",25,"Loko Moscow","Sporting CP","2008",3.5,4.5,1
"2175","Left-Back",26,"Lens","Portsmouth","2008",3.5,4.5,1
"2176","Left Winger",23,"Valencia CF","Getafe CF","2008",3,4.5,1.5
"2177","Centre-Forward",19,"Slavia Prag","CSKA Moscow","2008",2.5,4.5,2
"2178","Centre-Back",19,"1.FSV Mainz 05","Bor. Dortmund","2008",2.5,4.5,2
"2179","Centre-Back",22,"Vit. Guimar?es","1. FC K?ln","2008",1.5,4.5,3
"2180","Left-Back",21,"Dinamo Bukarest","Lazio","2008",1.4,4.5,3.1
"2181","Centre-Forward",20,"Burnley","Rangers","2008",1.25,4.5,3.25
"2182","Centre-Forward",20,"Internacional","TSG Hoffenheim","2008",0.9,4.5,3.6
"2183","Centre-Back",27,"Udinese Calcio","Besiktas","2008",0.85,4.5,3.65
"2184","Left-Back",27,"Reading","Aston Villa","2008",6,4.4,-1.6
"2185","Goalkeeper",28,"Spurs","Blackburn","2008",5,4.4,-0.6
"2186","Attacking Midfield",27,"San Lorenzo","Internacional","2008",4.5,4.4,-0.0999999999999996
"2187","Attacking Midfield",27,"Birmingham","Wigan","2008",3.5,4.4,0.9
"2188","Defensive Midfield",20,"Middlesbrough","Wigan","2008",2,4.4,2.4
"2189","Goalkeeper",25,"Palmeiras","Liverpool","2008",1.2,4.4,3.2
"2190","Centre-Forward",26,"FK Moskau","Rubin Kazan","2008",3,4.3,1.3
"2191","Centre-Forward",24,"RC Cesena","Bologna","2008",3,4.3,1.3
"2192","Central Midfield",21,"Liverpool","Newcastle","2008",1.8,4.3,2.5
"2193","Defensive Midfield",21,"Atalanta","Udinese Calcio","2008",5.5,4.2,-1.3
"2194","Centre-Forward",27,"West Ham","Fulham","2008",3,4.1,1.1
"2195","Centre-Forward",24,"Valencia CF","Real Zaragoza","2008",9,4,-5
"2196","Centre-Forward",23,"US Palermo","LOSC Lille","2008",7,4,-3
"2197","Attacking Midfield",26,"1.FC Nuremberg","VfL Wolfsburg","2008",6.5,4,-2.5
"2198","Goalkeeper",22,"Liverpool","West Brom","2008",6,4,-2
"2199","Attacking Midfield",27,"Zenit S-Pb","Rubin Kazan","2008",5.6,4,-1.6
"2200","Defensive Midfield",21,"CA Osasuna","Real Madrid","2008",5,4,-1
"2201","Centre-Back",27,"Monaco","Saint-étienne","2008",4,4,0
"2202","Attacking Midfield",25,"Stabaek IF","Trabzonspor","2008",3.5,4,0.5
"2203","Centre-Forward",26,"1.FC Nuremberg","LOSC Lille","2008",3.5,4,0.5
"2204","Attacking Midfield",23,"Real Madrid","Benfica","2008",2.6,4,1.4
"2205","Central Midfield",28,"Torino","Blackburn","2008",2.5,4,1.5
"2206","Centre-Back",21,"Heerenveen","West Brom","2008",2.5,4,1.5
"2207","Centre-Forward",30,"Sheffield Utd.","Stoke City","2008",2.25,4,1.75
"2208","Defensive Midfield",22,"Toronto FC","Rangers","2008",2,4,2
"2209","Attacking Midfield",19,"PSV Eindhoven","AFC Ajax","2008",2,4,2
"2210","Centre-Back",19,"FC Midtjylland","US Palermo","2008",1.5,4,2.5
"2211","Centre-Forward",19,"FC Groningen","PSV Eindhoven","2008",1.25,4,2.75
"2212","Centre-Forward",22,"Malm? FF","PSV Eindhoven","2008",1.25,4,2.75
"2213","Centre-Forward",20,"Sparta R.","Middlesbrough","2008",1,4,3
"2217","Centre-Forward",24,"Rimini","Parma","2008",1.25,3.93,2.68
"2218","Centre-Back",30,"FC Copenhagen","FC Nantes","2008",2.75,3.9,1.15
"2219","Defensive Midfield",24,"Corinthians","Panathinaikos","2008",5,3.8,-1.2
"2220","Central Midfield",23,"Fulham","Rangers","2008",4.5,3.8,-0.7
"2221","Centre-Forward",28,"UNAM Pumas","UD Almería","2008",4,3.8,-0.2
"2222","Centre-Back",20,"AEK Athens","Genoa","2008",2.7,3.8,1.1
"2223","Central Midfield",28,"Wolves","Stoke City","2008",2.5,3.8,1.3
"2224","Attacking Midfield",16,"Vasco U17","Inter","2008",2.5,3.8,1.3
"2225","Right-Back",27,"West Ham","Fulham","2008",1.5,3.8,2.3
"2226","Right-Back",23,"Arsenal","Middlesbrough","2008",1.5,3.8,2.3
"2227","Centre-Forward",24,"Man Utd","Real Madrid","2009",60,94,34
"2228","Centre-Forward",27,"Inter","FC Barcelona","2009",45,69.5,24.5
"2229","Attacking Midfield",27,"AC Milan","Real Madrid","2009",55,65,10
"2230","Centre-Forward",21,"Olympique Lyon","Real Madrid","2009",29,35,6
"2231","Defensive Midfield",27,"Liverpool","Real Madrid","2009",27,34.5,7.5
"2232","Centre-Forward",23,"VfB Stuttgart","Bayern Munich ","2009",30,30,0
"2233","Centre-Forward",25,"Arsenal","Man City","2009",25,29,4
"2234","Second Striker",25,"West Ham","Man City","2009",25,29,4
"2235","Centre-Back",27,"Everton","Man City","2009",17,27.5,10.5
"2236","Attacking Midfield",24,"Werder Bremen","Juventus","2009",29,27,-2
"2237","Right Winger",25,"Real Madrid","Bayern Munich ","2009",30,25,-5
"2238","Centre-Forward",30,"Genoa","Inter","2009",16,25,9
"2239","Centre-Back",22,"Shakhtar D.","FC Barcelona","2009",13.5,25,11.5
"2240","Defensive Midfield",26,"Fiorentina","Juventus","2009",9.5,25,15.5
"2241","Centre-Forward",26,"FC Porto","Olympique Lyon","2009",16.5,24,7.5
"2242","Centre-Forward",27,"Blackburn","Man City","2009",10,21.2,11.2
"2243","Left Midfield",25,"CSKA Moscow","Chelsea","2009",20,21,1
"2244","Right-Back",24,"Portsmouth","Liverpool","2009",11,20.5,9.5
"2245","Second Striker",22,"Al Sadd","Lazio","2009",9,20.2,11.2
"2246","Centre-Forward",28,"FC Barcelona","Inter","2009",35,20,-15
"2247","Central Midfield",25,"AS Roma","Liverpool","2009",15,20,5
"2248","Central Midfield",28,"FC Porto","Marseille","2009",20,19,-1
"2249","Right-Back",23,"Wigan","Man Utd","2009",11,18.9,7.9
"2250","Centre-Back",28,"Arsenal","Man City","2009",21,18.7,-2.3
"2251","Centre-Forward",26,"Udinese Calcio","SSC Napoli","2009",14,18,4
"2252","Left Midfield",25,"LOSC Lille","Olympique Lyon","2009",10,18,8
"2253","Centre-Forward",25,"Internacional","Villarreal CF","2009",11,16.5,5.5
"2254","Left-Back",21,"FC Porto","Olympique Lyon","2009",12,16.2,4.2
"2255","Attacking Midfield",25,"Real Madrid","Inter","2009",25,15,-10
"2256","Centre-Forward",26,"Real Madrid","AC Milan","2009",20,15,-5
"2257","Centre-Forward",24,"Real Madrid","Sevilla FC","2009",12,15,3
"2258","Centre-Forward",29,"Real Betis","Al-Jazira","2009",10,15,5
"2259","Centre-Back",23,"Valencia CF","Real Madrid","2009",9,15,6
"2260","Centre-Forward",21,"Inter","Genoa","2009",8,15,7
"2261","Centre-Forward",20,"Desp. Brasil","FC Barcelona","2009",14,14,0
"2262","Defensive Midfield",28,"Aston Villa","Man City","2009",18.5,13.9,-4.6
"2263","Centre-Back",25,"Hull City","Sunderland","2009",4,13.6,9.6
"2264","Attacking Midfield",22,"AC Milan","G. Bordeaux","2009",18.5,13.5,-5
"2265","Left Midfield",25,"Middlesbrough","Aston Villa","2009",11,13,2
"2266","Centre-Forward",23,"Saint-étienne","Olympique Lyon","2009",8,13,5
"2267","Defensive Midfield",23,"Stade Rennais","Marseille","2009",9.5,12,2.5
"2268","Centre-Forward",28,"Middlesbrough","Al Sadd","2009",6.8,12,5.2
"2269","Centre-Back",23,"AFC Ajax","Arsenal","2009",6,12,6
"2270","Centre-Forward",25,"Spurs","Sunderland","2009",12,11.8,-0.199999999999999
"2271","Defensive Midfield",30,"Zenit S-Pb","Bayern Munich ","2009",20,11,-9
"2272","Centre-Forward",24,"Dynamo Kyiv","Stade Rennais","2009",9,11,2
"2273","Defensive Midfield",23,"Atalanta","SSC Napoli","2009",7,11,4
"2274","Centre-Forward",24,"Newcastle","VfL Wolfsburg","2009",12.5,10.5,-2
"2275","Centre-Forward",28,"Portsmouth","Spurs","2009",10,10.5,0.5
"2276","Centre-Forward",27,"Atalanta","Genoa","2009",9,10.5,1.5
"2277","Centre-Back",22,"Genoa","Bari","2009",0.4,10.5,10.1
"2278","Defensive Midfield",26,"Genoa","Inter","2009",7,10.2,3.2
"2279","Centre-Forward",24,"Bayern Munich ","1. FC K?ln","2009",12,10,-2
"2280","Centre-Forward",22,"FC Groningen","Hamburger SV","2009",8,10,2
"2281","Attacking Midfield",24,"Loko Moscow","Everton","2009",6.7,10,3.3
"2282","Defensive Midfield",22,"Parma","Inter","2009",6,10,4
"2283","Central Midfield",24,"Siena","Parma","2009",4,10,6
"2284","Central Midfield",19,"Leeds","Aston Villa","2009",0.1,9.5,9.4
"2285","Centre-Back",23,"Newcastle","Spurs","2009",5.2,9.3,4.1
"2286","Defensive Midfield",28,"Spurs","Sevilla FC","2009",8.5,9,0.5
"2287","Right Midfield",25,"Spartak Moscow","Zenit S-Pb","2009",6.3,9,2.7
"2288","Left Winger",22,"FC Twente","Hamburger SV","2009",6,9,3
"2289","Right Midfield",25,"Kayserispor","Fenerbahce","2009",5.7,9,3.3
"2290","Left-Back",27,"Blackburn","Aston Villa","2009",5.1,9,3.9
"2291","Centre-Forward",22,"FC Sochaux","Paris SG","2009",7.5,8.5,1
"2292","Right-Back",23,"Siena","SSC Napoli","2009",1.8,8.5,6.7
"2293","Left Winger",20,"Bor. M'gladbach","Werder Bremen","2009",9,8.2,-0.800000000000001
"2294","Centre-Forward",27,"Marseille","Panathinaikos","2009",10.5,8,-2.5
"2295","Central Midfield",21,"Fiorentina","VfB Stuttgart","2009",8,8,0
"2296","Attacking Midfield",24,"Dynamo Kyiv","Loko Moscow","2009",7,8,1
"2297","Central Midfield",26,"AZ Alkmaar","AFC Ajax","2009",6.5,8,1.5
"2298","Goalkeeper",27,"Toulouse","G. Bordeaux","2009",6,8,2
"2299","Right Winger",22,"Middlesbrough","Man City","2009",4.5,8,3.5
"2300","Right Winger",19,"Grêmio","Shakhtar D.","2009",4,8,4
"2301","Attacking Midfield",28,"Gaziantepspor","Besiktas","2009",3.5,8,4.5
"2302","Right Winger",19,"Lanús","Atlético Madrid","2009",3.5,8,4.5
"2303","Centre-Back",20,"Dinamo Zagreb","Olympique Lyon","2009",2.5,8,5.5
"2304","Left-Back",27,"Heerenveen","Bayern Munich ","2009",9,7.7,-1.3
"2305","Centre-Forward",25,"Reading","Wolves","2009",4,7.6,3.6
"2306","Right Winger",27,"Olympique Lyon","Galatasaray","2009",8,7.5,-0.5
"2307","Central Midfield",22,"Cruzeiro","Benfica","2009",8,7.5,-0.5
"2308","Centre-Forward",24,"Gamba Osaka","Al Sadd","2009",2.5,7.5,5
"2309","Second Striker",25,"Torino","Zenit S-Pb","2009",11,7.3,-3.7
"2310","Centre-Forward",19,"Man City","Chelsea","2009",3,7.25,4.25
"2311","Centre-Back",31,"Bayern Munich ","Inter","2009",18,7,-11
"2312","Attacking Midfield",28,"Man City","Galatasaray","2009",12.5,7,-5.5
"2313","Centre-Back",31,"Hertha BSC","TSG Hoffenheim","2009",9,7,-2
"2314","Attacking Midfield",26,"Marseille","VfL Wolfsburg","2009",6.5,7,0.5
"2315","Defensive Midfield",26,"Corinthians","Fenerbahce","2009",6,7,1
"2316","Centre-Forward",21,"Hajduk Split","Blackburn","2009",6,7,1
"2317","Attacking Midfield",24,"Hamburger SV","Hilal","2009",5,7,2
"2318","Centre-Back",24,"Middlesbrough","Stoke City","2009",4,7,3
"2319","Defensive Midfield",22,"Real Madrid","Benfica","2009",4,7,3
"2320","Defensive Midfield",21,"Wigan","Sunderland","2009",3.7,7,3.3
"2321","Centre-Back",29,"Sampdoria","SSC Napoli","2009",3.2,7,3.8
"2322","Goalkeeper",23,"Brescia","Inter","2009",3,7,4
"2323","Attacking Midfield",20,"Huracán","US Palermo","2009",3,7,4
"2324","Centre-Forward",29,"Lanús","Al-Ain FC","2009",4.5,6.95,2.45
"2325","Centre-Back",29,"Man City","Aston Villa","2009",9.5,6.8,-2.7
"2326","Centre-Back",25,"Atlético Madrid","Everton","2009",8,6.8,-1.2
"2327","Attacking Midfield",18,"Partizan","Fiorentina","2009",4.5,6.8,2.3
"2328","Second Striker",26,"AS Livorno","West Ham","2009",3.5,6.8,3.3
"2329","Centre-Forward",27,"Dinamo Moscow","Zenit S-Pb","2009",8.5,6.5,-2
"2330","Centre-Back",31,"Portsmouth","Everton","2009",8.3,6.5,-1.8
"2331","Centre-Back",30,"G. Bordeaux","Marseille","2009",7.5,6.5,-1
"2332","Second Striker",25,"Atlético Madrid","Sporting CP","2009",7,6.5,-0.5
"2333","Left Winger",22,"Le Mans","LOSC Lille","2009",6,6.5,0.5
"2334","Left Winger",25,"Real Betis","CSKA Moscow","2009",5,6.5,1.5
"2335","Left-Back",23,"CFR Cluj","FC Porto","2009",3.25,6.5,3.25
"2336","Right Winger",20,"West Ham","Fiorentina","2009",4,6.2,2.2
"2337","Centre-Forward",25,"San Lorenzo","Saint-étienne","2009",3.3,6.2,2.9
"2338","Attacking Midfield",24,"Cruzeiro","Loko Moscow","2009",4.5,6,1.5
"2339","Centre-Back",29,"Lazio","Hamburger SV","2009",4,6,2
"2340","Defensive Midfield",29,"Real Zaragoza","Lazio","2009",4,6,2
"2341","Attacking Midfield",20,"Vasco da Gama","Shakhtar D.","2009",3.5,6,2.5
"2342","Right Winger",23,"VVV-Venlo","CSKA Moscow","2009",3,6,3
"2343","Centre-Back",22,"Racing","Villarreal CF","2009",3,6,3
"2344","Attacking Midfield",18,"S?o Paulo","Internacional","2009",0.5,6,5.5
"2345","Centre-Back",24,"Portsmouth","Spurs","2009",5.7,5.9,0.2
"2346","Centre-Back",26,"Cardiff","Birmingham","2009",2,5.9,3.9
"2347","Right-Back",20,"Sheffield Utd.","Spurs","2009",0.4,5.9,5.5
"2348","Right-Back",19,"Sheffield Utd.","Spurs","2009",0.05,5.9,5.85
"2349","Centre-Back",25,"Marseille","Sunderland","2009",14,5.8,-8.2
"2350","Left Winger",27,"Middlesbrough","Stoke City","2009",9.8,5.7,-4.1
"2351","Centre-Forward",25,"Nagoya Grampus","Umm Salal","2009",3,5.7,2.7
"2352","Centre-Back",26,"West Ham","Aston Villa","2009",2,5.7,3.7
"2353","Left Midfield",23,"KAA Gent","FC Twente","2009",5,5.5,0.5
"2354","Centre-Forward",25,"Getafe CF","Real Zaragoza","2009",4,5.5,1.5
"2355","Goalkeeper",20,"Real Valladolid","Atlético Madrid","2009",4,5.5,1.5
"2356","Right-Back",21,"Lazio","Fiorentina","2009",3.2,5.5,2.3
"2357","Left-Back",20,"Gaziantepspor","Besiktas","2009",2.5,5.5,3
"2358","Centre-Forward",23,"River Plate","FC Porto","2009",6.5,5.43,-1.07
"2359","Central Midfield",26,"Siena","Genoa","2009",4,5.2,1.2
"2360","Central Midfield",18,"Hamilton Acad.","Wigan","2009",1.25,5.1,3.85
"2361","Left-Back",27,"Inter","FC Barcelona","2009",13.5,5,-8.5
"2362","Centre-Forward",23,"UD Almería","Real Madrid","2009",12,5,-7
"2363","Goalkeeper",27,"US Palermo","Genoa","2009",10,5,-5
"2364","Attacking Midfield",25,"Olympiacos","FC Porto","2009",8.5,5,-3.5
"2365","Attacking Midfield",26,"Corinthians","Fenerbahce","2009",6,5,-1
"2366","Second Striker",26,"PSV Eindhoven","Zenit S-Pb","2009",5.5,5,-0.5
"2367","Centre-Back",25,"Grêmio","VfL Wolfsburg","2009",5.5,5,-0.5
"2368","Second Striker",27,"Real Madrid","Benfica","2009",5,5,0
"2369","Centre-Back",29,"Genoa","Besiktas","2009",5,5,0
"2370","Goalkeeper",27,"Genoa","US Palermo","2009",5,5,0
"2371","Goalkeeper",25,"RCD Mallorca","Valencia CF","2009",5,5,0
"2372","Centre-Forward",24,"Shakhtar D.","Dnipro","2009",4.25,5,0.75
"2373","Attacking Midfield",22,"Udinese Calcio","Dynamo Kyiv","2009",3.5,5,1.5
"2374","Right Winger",29,"Fiorentina","Sampdoria","2009",3,5,2
"2375","Centre-Forward",26,"Werder Bremen","Saint-étienne","2009",3,5,2
"2376","Centre-Forward",30,"Al-Jazira","Al-Wahda FC","2009",3,5,2
"2377","Centre-Forward",25,"Parma","Padova","2009",3,5,2
"2378","Centre-Forward",22,"Rapid Vienna","SSC Napoli","2009",2.6,5,2.4
"2379","Left Winger",23,"Kuban Krasnodar","Rubin Kazan","2009",2.5,5,2.5
"2380","Second Striker",23,"Inter","Genoa","2009",1.8,5,3.2
"2381","Right Midfield",28,"Parma","Bologna","2009",1.75,5,3.25
"2382","Defensive Midfield",28,"Parma","Brescia","2009",0.85,5,4.15
"2383","Centre-Forward",27,"Boca Juniors","Genoa","2009",9.5,4.9,-4.6
"2384","Centre-Forward",25,"Zenit S-Pb","VfB Stuttgart","2009",9,4.8,-4.2
"2385","Centre-Back",29,"Aston Villa","Bolton","2009",5,4.7,-0.3
"2386","Centre-Forward",25,"Sunderland","Cardiff","2009",4.5,4.7,0.2
"2387","Centre-Forward",22,"Hibernian FC","Burnley","2009",4,4.7,0.7
"2388","Central Midfield",31,"Zenit S-Pb","Dinamo Moscow","2009",3.5,4.7,1.2
"2389","Central Midfield",18,"Racing Club","TSG Hoffenheim","2009",3,4.6,1.6
"2390","Defensive Midfield",24,"Real Zaragoza","Genoa","2009",8,4.5,-3.5
"2391","Right Midfield",29,"Juventus","Fiorentina","2009",6,4.5,-1.5
"2392","Right Winger",25,"FK Moskau","Dinamo Moscow","2009",3.8,4.5,0.7
"2393","Attacking Midfield",22,"Osmanlispor","Fenerbahce","2009",3.5,4.5,1
"2394","Central Midfield",22,"Spurs","Portsmouth","2009",3,4.5,1.5
"2395","Central Midfield",24,"Reggina","Atalanta","2009",2.5,4.5,2
"2396","Centre-Forward",25,"Parma","Siena","2009",2,4.5,2.5
"2397","Centre-Forward",25,"Nacional","Cagliari Calcio","2009",2,4.5,2.5
"2398","Left Winger",23,"Desp. Brasil","TSG Hoffenheim","2009",2,4.5,2.5
"2399","Centre-Forward",21,"Molde FK","Man Utd","2009",2,4.5,2.5
"2400","Centre-Back",22,"Atlético-MG","Dynamo Kyiv","2009",1.5,4.5,3
"2401","Centre-Forward",28,"AS Nancy","Celtic","2009",3.6,4.4,0.8
"2402","Centre-Forward",26,"Celtic","Middlesbrough","2009",6,4.3,-1.7
"2403","Centre-Forward",29,"Villarreal CF","Besiktas","2009",10,4.25,-5.75
"2404","Centre-Forward",30,"Bor. Dortmund","FC Basel","2009",8,4.25,-3.75
"2405","Centre-Back",28,"Sevilla FC","América","2009",4,4.2,0.2
"2406","Centre-Forward",22,"Grasshoppers","Bor. M'gladbach","2009",4,4.2,0.2
"2407","Centre-Back",20,"Bayern Munich ","Bor. Dortmund","2009",4,4.2,0.2
"2408","Left Midfield",25,"FK Moskau","Dinamo Moscow","2009",3.7,4.2,0.5
"2409","Centre-Forward",24,"Colo Colo","Bor. Dortmund","2009",2.4,4.2,1.8
"2410","Centre-Forward",21,"Man Utd","Sunderland","2009",2.8,4.1,1.3
"2411","Attacking Midfield",27,"Corinthians","Al-Wasl","2009",2.7,4.1,1.4
"2412","Right-Back",26,"Liverpool","Real Madrid","2009",11,4,-7
"2413","Right Winger",22,"Real Valladolid","Getafe CF","2009",6,4,-2
"2414","Right Midfield",30,"Newcastle","Fulham","2009",5.7,4,-1.7
"2415","Left Midfield",35,"Nacional","Hamburger SV","2009",5,4,-1
"2416","Central Midfield",25,"FC Porto","Spartak Moscow","2009",5,4,-1
"2417","Central Midfield",23,"Le Mans","Monaco","2009",5,4,-1
"2418","Central Midfield",22,"Getafe CF","Real Madrid","2009",5,4,-1
"2419","Right Winger",24,"FK Moskau","Catania","2009",4.2,4,-0.2
"2420","Left Midfield",28,"Reading","Hull City","2009",4,4,0
"2421","Defensive Midfield",29,"FC Schalke 04","PSV Eindhoven","2009",3.5,4,0.5
"2422","Centre-Back",25,"FC Lorient","G. Bordeaux","2009",3,4,1
"2423","Left Winger",22,"Liverpool","Panathinaikos","2009",3,4,1
"2424","Right Winger",20,"G. Bordeaux","Man Utd","2009",3,4,1
"2425","Centre-Forward",21,"Neuchatel Xamax","FC Sochaux","2009",3,4,1
"2426","Centre-Back",27,"Marseille","Blackburn","2009",2.7,4,1.3
"2427","Right Winger",24,"Atlético-MG","Benfica","2009",2,4,2
"2428","Centre-Back",21,"Boca Juniors","Espanyol","2009",2,4,2
"2429","Right Winger",20,"Desp. Brasil","Loko Moscow","2009",2,4,2
"2430","Centre-Back",23,"Internacional","Dynamo Kyiv","2009",1.4,4,2.6
"2431","Left Winger",21,"Desp. Brasil","Tigres UANL","2009",1.3,4,2.7
"2432","Attacking Midfield",20,"Nacional","AFC Ajax","2009",1.25,4,2.75
"2433","Centre-Forward",27,"CD Godoy Cruz","Udinese Calcio","2009",1,4,3
"2434","Centre-Back",20,"EC Vitória","Standard Liège","2009",0.9,4,3.1
"2435","Centre-Back",24,"Tigre","Parma","2009",0.8,4,3.2
"2436","Centre-Back",22,"Coventry City","Birmingham","2009",0.75,4,3.25
"2437","Centre-Back",22,"Inter","Genoa","2009",0.4,4,3.6
"2439","Centre-Forward",21,"FC Basel","Bay. Leverkusen","2009",5,3.8,-1.2
"2440","Centre-Back",29,"Spartak Moscow","West Ham","2009",4.5,3.8,-0.7
"2441","Left Midfield",28,"Liverpool","SSC Napoli","2009",6,3.75,-2.25
"2442","Goalkeeper",22,"Portsmouth","Stoke City","2009",1.5,3.75,2.25
"2443","Centre-Back",28,"Valencia CF","Genoa","2009",8,3.7,-4.3
"2444","Central Midfield",26,"AJ Auxerre","VfL Wolfsburg","2009",4.5,3.7,-0.8
"2445","Centre-Forward",30,"Fenerbahce","Paris SG","2009",2.7,3.7,1
"2446","Attacking Midfield",23,"Villarreal CF","Sporting CP","2009",7,3.64,-3.36
"2447","Left Winger",29,"RCD Mallorca","Bor. M'gladbach","2009",7,3.6,-3.4
"2448","Attacking Midfield",30,"Independiente","América","2009",6.2,3.6,-2.6
"2449","Goalkeeper",26,"Sampdoria","Parma","2009",2,3.6,1.6
"2450","Attacking Midfield",23,"Audax Italiano","Al-Shabab","2009",1.9,3.6,1.7
"2451","Defensive Midfield",30,"Benfica","Panathinaikos","2009",7,3.5,-3.5
"2452","Left-Back",27,"Toulouse","West Ham","2009",5.5,3.5,-2
"2453","Defensive Midfield",22,"Man City","Saint-étienne","2009",5.5,3.5,-2
"2454","Attacking Midfield",28,"CF Pachuca","CD Cruz Azul","2009",5,3.5,-1.5
"2455","Left-Back",21,"Partizan","Real Zaragoza","2009",4.5,3.5,-1
"2456","Right Winger",25,"US Palermo","Genoa","2009",4,3.5,-0.5
"2457","Right Midfield",25,"SSC Napoli","Sampdoria","2009",4,3.5,-0.5
"2458","Right-Back",23,"Udinese Calcio","AS Roma","2009",4,3.5,-0.5
"2459","Central Midfield",23,"FC Porto","Toulouse","2009",3.2,3.5,0.3
"2460","Central Midfield",27,"Sunderland","Stoke City","2009",3,3.5,0.5
"2461","Goalkeeper",23,"Inter","Bologna","2009",3,3.5,0.5
"2462","Defensive Midfield",23,"Rosenborg BK","Stade Rennais","2009",3,3.5,0.5
"2463","Defensive Midfield",24,"FC Porto","Fiorentina","2009",2.5,3.5,1
"2464","Centre-Forward",24,"Roda JC","Feyenoord","2009",2.5,3.5,1
"2465","Central Midfield",29,"Stoke City","Hull City","2009",2.2,3.5,1.3
"2466","Centre-Forward",23,"Juventus","Siena","2009",2,3.5,1.5
"2467","Central Midfield",23,"Aston Villa","Birmingham","2009",2,3.5,1.5
"2468","Centre-Forward",20,"Man City","Sheffield Utd.","2009",1.2,3.5,2.3
"2469","Right Winger",23,"Audax Italiano","Udinese Calcio","2009",0.8,3.5,2.7
"2471","Centre-Forward",22,"Villarreal CF","Real Betis","2009",3,3.4,0.4
"2472","Left Winger",23,"Spartak Moscow","Al Sadd","2009",1,3.4,2.4
"2473","Central Midfield",24,"Sporting Gijón","Birmingham","2009",2.4,3.3,0.9
"2474","Defensive Midfield",22,"Colón","FC Porto","2009",2.2,3.3,1.1
"2475","Centre-Forward",23,"Udinese Calcio","Juventus","2009",2,3.3,1.3
"2476","Centre-Forward",26,"Liverpool","Chelsea","2010",50,58.5,8.5
"2477","Centre-Forward",22,"Newcastle","Liverpool","2010",2.5,41,38.5
"2478","Centre-Forward",28,"Valencia CF","FC Barcelona","2010",45,40,-5
"2479","Centre-Forward",24,"VfL Wolfsburg","Man City","2010",30,37,7
"2480","Right Winger",22,"Benfica","Real Madrid","2010",9.5,33,23.5
"2481","Central Midfield",27,"FC Barcelona","Man City","2010",18,30,12
"2482","Centre-Forward",20,"Inter","Man City","2010",26,29.5,3.5
"2483","Attacking Midfield",24,"Valencia CF","Man City","2010",32,28.75,-3.25
"2484","Centre-Forward",24,"AFC Ajax","Liverpool","2010",25,26.5,1.5
"2485","Centre-Back",23,"Benfica","Chelsea","2010",14,25,11
"2486","Left-Back",24,"Lazio","Man City","2010",9,23.86,14.86
"2487","Attacking Midfield",24,"G. Bordeaux","Olympique Lyon","2010",22.5,22,-0.5
"2488","Central Midfield",24,"Aston Villa","Man City","2010",20,22,2
"2489","Centre-Back",28,"FC Porto","Zenit S-Pb","2010",18,22,4
"2490","Central Midfield",23,"Benfica","Chelsea","2010",14,22,8
"2491","Centre-Forward",26,"Sunderland","Aston Villa","2010",18,21.5,3.5
"2492","Defensive Midfield",26,"Liverpool","FC Barcelona","2010",26,20,-6
"2493","Attacking Midfield",23,"TSG Hoffenheim","Rubin Kazan","2010",14.5,20,5.5
"2494","Centre-Back",22,"Genoa","Inter","2010",10,18.5,8.5
